---config@码表分类=主码-系统码表
---config@码表别名=系统字库
瘅	danbb#序50000
郸	danbe#序50000
掸	danf#序55000
弹	dang#序55000
殚	danh#序55000
钽	danj#序55000
丹	dank#序55000
旦	dano#序55000
蛋	danp#序55000
箪	danv#序55000
惮	danx#序55000
诞	dany#序55000
答	dap#序58000
瘩	dapb#序55000
耷	dapd#序55000
搭	dapf#序55000
嗒	dapk#序55000
沓	dapu#序55000
叠	dapy#序55000
褡	dapyc#序50000
踏	dapz#序55000
蹋	dapzo#序50000
爹	de#序58000
地	dei#序58000
落	deic#序55000
赖	deih#序55000
哋	deik#序55000
笛	dek#序58000
嗲	dekb#序50000
籴	dekp#序55000
顶	der#序58000
钉	derj#序55000
盯	derm#序55000
订	dery#序55000
尐	di#序58000
弟	dib#序55000
跌	did#序58000
秩	didh#序55000
帙	didj#序55000
瓞	didp#序55000
迭	didpz#序50000
绖	dids#序55000
耋	didt#序55000
垤	didth#序50000
敌	dik#序58000
啲	dikb#序50000
荻	dikc#序55000
涤	dikd#序55000
滴	dikdl#序50000
镝	dikj#序55000
嘀	dikk#序55000
嫡	dikn#序55000
狄	dikq#序55000
觌	diku#序55000
翟	dikx#序55000
迪	diky#序55000
点	dim#序58000
阽	dime#序55000
掂	dimf#序55000
垫	dimft#序50000
店	dimg#序55000
坫	dimt#序55000
玷	dimw#序55000
惦	dimx#序55000
鲇	dimy#序55000
踮	dimz#序55000
电	din#序58000
癫	dinb#序55000
奠	dinbd#序50000
甸	dinbt#序50000
癜	dinbu#序50000
滇	dind#序55000
淀	dindg#序50000
碘	dine#序55000
垫	dinf#序55000
靛	dinfg#序50000
畑	dinh#序55000
典	dink#序55000
佃	dinr#序55000
殿	dinu#序55000
巅	dinuu#序50000
颠	dinuy#序50000
瑱	dinw#序55000
叠	dip#序58000
碟	dipe#序55000
垫	dipf#序55000
揲	dipfn#序50000
蝶	dipi#序55000
喋	dipk#序55000
牒	dipp#序55000
迭	dippz#序50000
堞	dipt#序55000
谍	dipy#序55000
鲽	dipyn#序50000
蹀	dipz#序55000
定	dir#序58000
疔	dirb#序55000
顶	dird#序55000
汀	dirdd#序50000
碇	dire#序55000
耵	dired#序50000
丁	dirh#序55000
锭	dirj#序55000
叮	dirk#序55000
啶	dirkg#序50000
盯	dirm#序55000
鼎	dirmv#序50000
腚	diro#序55000
仃	dirr#序55000
町	dirt#序55000
玎	dirw#序55000
酊	diry#序55000
订	diryd#序50000
调	diu#序58000
莜	diuc#序55000
凋	diud#序55000
碉	diue#序55000
掉	diuf#序55000
弔	diug#序55000
铞	diuj#序55000
钓	diujb#序50000
铥	diujp#序50000
吊	diuk#序55000
叼	diukv#序45000
雕	diukv#序50000
丢	diup#序55000
貂	diupd#序50000
屌	diuu#序55000
刁	diuv#序55000
鲷	diuy#序55000
多	do#序58000
堕	doe#序55000
代	doi#序58000
殆	doih#序55000
岱	doir#序55000
黛	doirh#序50000
待	doirt#序50000
袋	doiry#序50000
怠	dois#序55000
绐	doiss#序50000
迨	doisz#序50000
玳	doiw#序55000
朵	doj#序55000
踱	dok#序58000
度	dokg#序55000
铎	dokj#序55000
哆	dokx#序50000
驮	dom#序55000
当	dor#序58000
档	dora#序55000
菪	dorc#序55000
荡	dorcd#序50000
砀	dore#序55000
挡	dorf#序55000
宕	dorg#序55000
铛	dorj#序55000
镋	dorjx#序50000
珰	dorw#序55000
党	dorx#序55000
裆	dory#序55000
谠	doryx#序50000
垛	dot#序55000
到	dou#序58000
杜	doua#序55000
赌	doub#序55000
道	doubz#序50000
芏	douc#序55000
渡	doud#序55000
盗	doudm#序50000
捯	douf#序55000
捣	doufn#序50000
度	doug#序55000
稻	douh#序55000
蠹	douhi#序50000
躲	douj#序50000
镀	doujg#序50000
导	douk#序55000
叨	doukd#序50000
嘟	doukt#序50000
睹	doum#序55000
妒	doun#序55000
岛	dounu#序50000
氘	douq#序55000
倒	dour#序55000
都	dout#序55000
堵	doutt#序50000
刀	douv#序55000
悼	doux#序55000
忉	douxd#序50000
蹈	douz#序55000
惰	dox#序55000
跺	doz#序55000
突	dqd#序58000
凸	dqdu#序55000
第	dqi#序58000
柢	dqia#序55000
棣	dqiax#序50000
弟	dqib#序55000
递	dqibz#序50000
蒂	dqic#序55000
砥	dqie#序55000
碲	dqiel#序50000
抵	dqif#序55000
底	dqig#序55000
骶	dqigu#序50000
帝	dqil#序55000
牴	dqin#序55000
娣	dqinb#序50000
低	dqir#序55000
缔	dqis#序55000
埭	dqit#序55000
坻	dqitu#序50000
氐	dqiu#序55000
邸	dqiue#序50000
悌	dqix#序55000
隶	dqixu#序50000
逮	dqixz#序50000
谛	dqiy#序55000
禘	dqiyl#序50000
羝	dqiyu#序45000
诋	dqiyu#序50000
得	dqk#序58000
锝	dqkj#序55000
嘚	dqkk#序55000
特	dqkn#序55000
