〆	sime
屋	ya
屍	kabane
屍	sikabane
屏	hei
屑	isagiyo
屑	kuzu
展	hiraku
展	hiromu
展	hirosi
展	noburu
展	ten
屛	hei
属	syoku
属	zoku
屠	hohu
屡	sibasiba
屢	sibasiba
層	sou
屯	tamuro
山	san
山	yama
岑	rei
岡	oka
岨	sowa
岩	iwa
岩	yan
岫	syuu
岬	misaki
岱	tai
岳	dake
岳	gaku
岳	takasi
岳	take
岳	takesi
岸	gan
岸	kisi
岼	yuri
峠	tao
峠	touge
峡	kai
峯	mine
峯	noboru
峰	hou
峰	mine
峰	takasi
島	isima
島	sima
島	tou
島	zima
峻	syun
峻	taka
峻	takasi
崇	taka
崇	takasi
崎	misaki
崎	saki
崎	zaki
崑	kon
崔	sai
崔	tie
崖	gake
崚	ryou
崢	zen
崩	kuzure
嵌	hama
嵐	arasi
嵐	ran
嵩	dake
嵩	kasa
嵩	kasami
嵩	kou
嵩	takasi
嶋	sima
嶺	mine
嶺	rei
嶽	take
巌	iwao
巍	gi
巍	takasi
巖	iwa
巖	iwao
川	gawa
川	kawa
州	su
州	syuu
巡	megu
巡	meguru
巡	zyun
巣	su
工	kou
工	takumi
左	hidari
巧	isao
巧	kou
巧	takumi
巧	uma
巨	nao
巫	miko
差	sa
己	ki
己	onore
己	tutinoto
巳	mi
巴	tomoe
巴	tomomi
巷	timata
巻	kan
巻	maki
巽	tatumi
巾	haba
巾	oo
市	iti
市	si
布	kire
布	nuno
帆	ho
帆	huan
帆	kai
希	mare
希	mareni
希	megumi
希	nozomi
希	nozomu
帖	zyou
帙	titu
帝	mikado
帝	tei
帥	soti
師	moro
師	si
師	tukasa
席	seki
帯	obi
帯	tai
帰	kae
帰	ki
帳	tobari
帳	tyou
帷	tobari
常	hisasi
常	tune
常	tyan
常	zyou
帽	bou
幅	haba
幌	horo
幕	maku
幟	nobori
幡	hata
幢	dou
幣	nusa
干	hi
平	daira
平	hei
平	hira
平	hyou
平	osamu
平	pei
平	pin
平	taira
年	hirosi
年	minoru
年	nen
年	tosi
幸	kou
幸	miyuki
幸	saiwai
幸	sati
幸	saya
幸	yuki
幹	kan
幹	miki
幹	mikio
幹	motoki
幹	tuyosi
幻	maborosi
幼	itokena
幼	osana
幼	you
幽	kasoke
幾	iku
庁	tyou
広	hiro
広	hirosi
広	kou
庄	syou
庄	taira
庇	hisasi
床	syou
床	toko
床	yuka
序	tuide
序	zyo
底	soko
底	tei
店	mise
店	tana
店	ten
庚	kanoe
庚	kou
府	hu
度	do
度	tabi
座	suwa
座	za
庫	ko
庫	kura
庭	niwa
庵	an
庵	iori
康	kan
康	kou
康	yasu
康	yasusi
庸	hirosi
庸	isao
庸	you
廂	hisasi
廃	hai
廉	kado
廉	kiyosi
廉	ren
廉	yasusi
廊	rou
廓	kuruwa
廖	ryou
廟	byou
廠	syou
廣	hiro
廣	hirosi
廣	kou
廬	iori
延	nobe
延	nobu
延	tadasi
建	ken
建	takesi
建	tate
建	taturu
廻	mawa
廻	mawari
廻	megu
廻	meguri
廻	motoo
廿	nizyuu
弁	ben
弄	rou
弊	hei
式	siki
弓	yumi
弔	tyou
弗	doru
弘	gu
弘	hiro
弘	hiromu
弘	hirosi
弘	hitosi
弘	kou
弛	tayu
弛	yuru
弟	otouto
弥	wataru
弦	gen
弦	turu
弧	ko
弩	isiyumi
弱	yowa
弱	zyaku
張	hari
張	tyan
張	tyou
強	duyo
強	kou
強	kowa
強	kyou
強	tutomu
強	tuyo
強	tuyosi
強	zuyo
弼	hitu
弾	dan
弾	tama
彊	tutomu
彊	tuyo
彊	tuyosi
彌	iya
当	ata
当	ate
当	masaru
当	tou
彝	tune
形	gata
形	kata
形	katati
形	kei
形	nari
彩	akira
彩	aya
彩	irodo
彩	irodori
彩	sai
彩	sayaka
彪	aya
彪	hyou
彪	pyou
彪	takesi
彫	e
彫	ho
彬	akira
彬	hitosi
彭	bou
彭	hou
彰	akira
彰	syou
影	kage
役	eki
役	yaku
彼	kare
征	sei
征	susumu
征	tadasi
径	kei
径	wataru
待	mati
律	ritu
律	tadasi
後	ato
後	go
後	kou
後	noti
後	usiro
徐	zyo
徒	ada
徒	itazura
徒	kati
徒	muda
徒	okati
徒	to
得	doku
得	e
得	toku
得	u
御	go
御	o
復	huku
微	bi
徳	isao
徳	megumu
徳	tikara
徳	toku
徴	sirusi
徴	tyou
徹	itaru
徹	tet
徹	tetu
徹	tooru
心	gokoro
心	kokoro
心	makoto
心	sin
忌	imi
忌	ki
忍	nin
忍	osi
忍	sinobi
忍	sinobu
志	kokorozasi
志	si
志	simura
忝	katazikena
忠	kiyosi
忠	makoto
忠	tada
忠	tadasi
忠	tyuu
忠	zon
快	kai
快	kokoroyo
快	sayaka
忱	makoto
念	nen
怒	ika
怒	oko
怖	kowa
怜	rei
怜	ren
怜	ryou
怜	satoru
怜	satosi
思	sitau
怠	daru
